"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
146,"Precinct Committeeman BLM 036 - D","Adrian Hochstadt","D",39,100.00,716,110696,1,1,"0","0"
147,"Precinct Committeeman BLM 038 - D","Hina Trivedi","D",25,100.00,873,110696,1,1,"0","0"
148,"Precinct Committeeman BLM 039 - D","Michael L. Childress","D",41,100.00,1404,110696,1,1,"0","0"
149,"Precinct Committeeman BLM 040 - D","Janice Beckman","D",30,100.00,1005,110696,1,1,"0","0"
150,"Precinct Committeeman BLM 047 - D","Afzal R. Shaikh","D",28,100.00,1112,110696,1,1,"0","0"
151,"Precinct Committeeman BLM 049 - D","Barbara McDonald","D",29,100.00,1051,110696,1,1,"0","0"
152,"Precinct Committeeman BLM 052 - D","Sujinder Kumar","D",31,100.00,1115,110696,1,1,"0","0"
153,"Precinct Committeeman BLM 056 - D","Karl-Heinz Gabbey","D",38,100.00,1067,110696,1,1,"0","0"
154,"Precinct Committeeman BLM 059 - D","Ralph Scalise","D",43,100.00,1586,110696,1,1,"0","0"
155,"Precinct Committeeman BLM 060 - D","Dawnn Basaraba","D",44,100.00,1586,110696,1,1,"0","0"
156,"Precinct Committeeman BLM 063 - D","Chodri M. A. Khokhar","D",28,100.00,621,110696,1,1,"0","0"
157,"Precinct Committeeman BLM 064 - D","Jeremy R. Custer","D",18,100.00,719,110696,1,1,"0","0"
158,"Precinct Committeeman BLM 068 - D","Peter Ciancio, Jr.","D",33,100.00,1273,110696,1,1,"0","0"
159,"Precinct Committeeman BLM 069 - D","Carla E. Eisenberg","D",31,100.00,1028,110696,1,1,"0","0"
160,"Precinct Committeeman BLM 070 - D","James Banks","D",0,0.00,566,110696,1,1,"0","0"
161,"Precinct Committeeman BLM 070 - D","James Hagerty","D",30,100.00,566,110696,1,1,"0","0"
162,"Precinct Committeeman ADD 006 - D","John J. Canniff","D",19,100.00,840,110696,1,1,"0","0"
163,"Precinct Committeeman ADD 008 - D","Robert Peickert","D",18,100.00,668,110696,1,1,"0","0"
